样点,点号,经度,纬度,pH值,全碳(g/kg),有机碳(g/kg),容重(g/cm3),N(g/kg),A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
1,BAB0001--H1,126.40500853,48.23765082,6.69,17.3,16.1,1.2123,1.48,-0.041584006151480196,0.07972318339100345,0.2069357939254133,-0.3188927335640138,-0.03844675124951941,0.019930795847750864,-0.21413302575932336,0.186082276047674,0.06698961937716265,-0.13588619761630144,0.16000000000000003,-0.14769703960015382,0.022206843521722412,0.044844290657439445,-0.22145328719723184,0.022206843521722412,0.029773164167627833,0.017777777777777778,-0.008858131487889272,0.12456747404844293,0.007443291041906958,0.09842368319876971,0.19986159169550174,-0.12456747404844293,-0.08882737408688965,0.15378700499807765,0.09356401384083046,-0.05536332179930796,0.33685505574778934,-0.08882737408688965,0.07111111111111111,-0.04822760476739715,-0.13588619761630144,0.08882737408688965,-0.10340638216070744,0.19986159169550174,-0.044844290657439445,0.12456747404844293,0.08882737408688965,0.017777777777777778,-0.04822760476739715,0.003936947327950788,-0.05173394848135333,-0.07535563244905807,-0.01574778931180315,0.2069357939254133,0.1085121107266436,-0.017777777777777778,0.07535563244905807,0.01384083044982699,0.24415224913494812,-0.03543252595155709,-0.19986159169550174,-0.08421376393694734,0.07111111111111111,0.05536332179930796,0.024605920799692427,-0.012056901191849288,-0.10340638216070744,-0.21413302575932336,-0.186082276047674,-0.04822760476739715,-0.07535563244905807,-0.006151480199923107
2,BAB0002--H1,126.40051696,48.324555,5.85,19.5,19,1.0499,1.62,-0.0629911572472126,0.03254133025759323,0.1929104190695886,-0.28444444444444444,-0.07111111111111111,-0.04822760476739715,-0.2519646289888504,0.2364628988850442,0.13016532103037293,-0.07111111111111111,0.09842368319876971,-0.05536332179930796,0.09356401384083046,0.07535563244905807,-0.22145328719723184,0.002214532871972318,-0.0271280276816609,0.05536332179930796,-0.019930795847750864,0.07111111111111111,0.007443291041906958,0.08882737408688965,0.13588619761630144,-0.05911572472126105,-0.1085121107266436,0.08421376393694734,0.05173394848135333,-0.03844675124951941,0.3014225297962323,-0.09842368319876971,0.07535563244905807,-0.10340638216070744,-0.13016532103037293,0.05911572472126105,-0.11909265667051133,0.2288965782391388,-0.024605920799692427,0.08421376393694734,0.13016532103037293,-5.536332179930795E-4,-0.07111111111111111,0.01574778931180315,-0.05536332179930796,-0.09356401384083046,-0.10340638216070744,0.21413302575932336,0.14173010380622836,-0.05911572472126105,0.0271280276816609,-0.01384083044982699,0.2364628988850442,-0.006151480199923107,-0.21413302575932336,-0.10340638216070744,0.09356401384083046,0.06698961937716265,0.03254133025759323,-9.84236831987697E-4,-0.17279507881584008,-0.2288965782391388,-0.19986159169550174,-0.05173394848135333,-0.08882737408688965,-0.01574778931180315
3,BAB0003--H1,126.54558436,48.39690977,5.59,18.9,17,1.2918,1.49,-0.022206843521722412,0.03543252595155709,0.22145328719723184,-0.2599000384467512,-0.05911572472126105,-0.044844290657439445,-0.2519646289888504,0.29287197231833906,0.08421376393694734,-0.041584006151480196,0.13016532103037293,-0.11909265667051133,0.03844675124951941,0.07111111111111111,-0.21413302575932336,0.01574778931180315,0.0015378700499807767,0.08421376393694734,-0.03254133025759323,0.07111111111111111,0.03254133025759323,0.07111111111111111,0.186082276047674,-0.11909265667051133,-0.05536332179930796,0.09842368319876971,0.01574778931180315,0.012056901191849288,0.34602076124567477,-0.07972318339100345,0.07111111111111111,-0.008858131487889272,-0.16000000000000003,0.11374086889657825,-0.13016532103037293,0.2069357939254133,-0.003936947327950788,0.09356401384083046,0.0629911572472126,0.01574778931180315,-0.09356401384083046,0.012056901191849288,-0.07111111111111111,-0.006151480199923107,-0.05173394848135333,0.22145328719723184,0.10340638216070744,-0.1085121107266436,-0.0015378700499807767,-6.151480199923106E-5,0.21413302575932336,-0.012056901191849288,-0.186082276047674,-0.09356401384083046,0.0629911572472126,0.09842368319876971,0.029773164167627833,0.05536332179930796,-0.15378700499807765,-0.186082276047674,-0.19986159169550174,-0.044844290657439445,-0.07111111111111111,-0.03543252595155709
4,BAB0004--H1,126.55577702,48.31336455,6.54,25.3,23.7,1.3617,2.23,-0.06698961937716265,0.008858131487889272,0.14173010380622836,-0.19986159169550174,-0.044844290657439445,-0.08882737408688965,-0.2761399461745483,0.3014225297962323,0.13016532103037293,-0.05173394848135333,0.13016532103037293,-0.05536332179930796,0.0629911572472126,0.044844290657439445,-0.2069357939254133,0.003936947327950788,-0.06698961937716265,0.010396001537870049,-0.06698961937716265,0.07111111111111111,0.04822760476739715,-0.041584006151480196,0.13588619761630144,-0.06698961937716265,-0.05173394848135333,0.16633602460592078,0.06698961937716265,-0.024605920799692427,0.33685505574778934,-0.05911572472126105,0.03844675124951941,-0.07535563244905807,-0.13588619761630144,0.06698961937716265,-0.10340638216070744,0.2364628988850442,-5.536332179930795E-4,0.012056901191849288,0.13588619761630144,0.017777777777777778,-0.0629911572472126,-0.004982698961937716,-0.041584006151480196,-0.0629911572472126,-0.11374086889657825,0.186082276047674,0.186082276047674,-0.07535563244905807,-0.01384083044982699,-0.024605920799692427,0.2288965782391388,-0.01384083044982699,-0.22145328719723184,-0.1085121107266436,0.11909265667051133,0.05911572472126105,0.06698961937716265,0.01384083044982699,-0.16000000000000003,-0.2364628988850442,-0.186082276047674,-0.029773164167627833,-0.09842368319876971,-0.012056901191849288
5,BAB0005--H1,127.5166817,48.07599855,6.54,50.5,40.8,1.3597,3.58,-0.01574778931180315,0.07972318339100345,0.16633602460592078,-0.34602076124567477,0.01574778931180315,-0.0271280276816609,-0.22145328719723184,0.21413302575932336,0.07972318339100345,-0.024605920799692427,-0.006151480199923107,-0.09356401384083046,-0.022206843521722412,0.09842368319876971,-0.2519646289888504,0.09842368319876971,-2.4605920799692423E-4,0.029773164167627833,-0.008858131487889272,0.05173394848135333,0.03254133025759323,0.08882737408688965,0.14173010380622836,-0.15378700499807765,-0.08882737408688965,0.07535563244905807,0.06698961937716265,-0.06698961937716265,0.3553094963475586,-0.10340638216070744,0.09356401384083046,-0.03254133025759323,-0.16633602460592078,0.07111111111111111,-0.07972318339100345,0.2288965782391388,0.024605920799692427,0.17937716262975778,0.05911572472126105,0.05911572472126105,-0.019930795847750864,0.04822760476739715,-0.11909265667051133,-0.010396001537870049,0.002214532871972318,0.22145328719723184,0.07111111111111111,-0.08882737408688965,0.01384083044982699,-0.04822760476739715,0.2519646289888504,-0.029773164167627833,-0.12456747404844293,-0.05536332179930796,0.01384083044982699,0.06698961937716265,-0.01384083044982699,-0.05911572472126105,-0.08882737408688965,-0.2288965782391388,-0.24415224913494812,-0.017777777777777778,-0.07972318339100345,0.010396001537870049
6,BAB0006--H1,127.66867365,48.11636739,6.8,41.5,31.6,1.3447,2.63,-0.07535563244905807,-0.024605920799692427,0.2364628988850442,-0.2364628988850442,-0.08421376393694734,-0.05173394848135333,-0.2288965782391388,0.3014225297962323,0.11374086889657825,-0.019930795847750864,0.2364628988850442,-0.186082276047674,0.04822760476739715,0.022206843521722412,-0.2288965782391388,0.06698961937716265,0.08882737408688965,-0.029773164167627833,-0.14769703960015382,-0.041584006151480196,0.07111111111111111,-0.05911572472126105,0.09842368319876971,-0.13588619761630144,-0.022206843521722412,0.17279507881584008,0.022206843521722412,0.044844290657439445,0.3553094963475586,-0.003014225297962322,0.0629911572472126,0.017777777777777778,-0.05536332179930796,0.11374086889657825,-0.07111111111111111,0.17279507881584008,0.05536332179930796,0.0629911572472126,0.03543252595155709,-0.04822760476739715,-0.05173394848135333,-0.07535563244905807,-0.05911572472126105,0.12456747404844293,-0.041584006151480196,0.16000000000000003,0.09356401384083046,-0.13588619761630144,0.07111111111111111,-0.13588619761630144,0.17279507881584008,0.012056901191849288,-0.1085121107266436,0.03543252595155709,0.11374086889657825,0.12456747404844293,0.12456747404844293,-0.04822760476739715,-0.05911572472126105,-0.13016532103037293,-0.2288965782391388,0.008858131487889272,-0.010396001537870049,0.01384083044982699
7,BAB0007--H1,127.63318813,47.92631347,5.85,82.1,62.4,1.0474,5.115,-0.03844675124951941,-0.017777777777777778,0.13016532103037293,-0.3278123798539023,-0.004982698961937716,-0.05173394848135333,-0.2364628988850442,0.17937716262975778,0.06698961937716265,0.0271280276816609,-0.002214532871972318,-0.1085121107266436,0.03254133025759323,0.0629911572472126,-0.2679584775086506,0.07972318339100345,-0.019930795847750864,-0.022206843521722412,-0.024605920799692427,0.017777777777777778,0.022206843521722412,-0.003936947327950788,0.044844290657439445,-0.11374086889657825,-0.11374086889657825,0.09356401384083046,0.05173394848135333,-0.05173394848135333,0.40359861591695495,-0.13016532103037293,0.13016532103037293,-0.08882737408688965,-0.14173010380622836,0.041584006151480196,-0.0629911572472126,0.2761399461745483,0.03844675124951941,0.13016532103037293,0.05911572472126105,0.05173394848135333,-0.07111111111111111,-0.024605920799692427,-0.13016532103037293,0.04822760476739715,0.003014225297962322,0.22145328719723184,0.06698961937716265,-0.05536332179930796,-0.022206843521722412,-0.06698961937716265,0.21413302575932336,-0.0015378700499807767,-0.14769703960015382,-0.03844675124951941,0.07535563244905807,0.07972318339100345,0.041584006151480196,-0.0629911572472126,-0.09842368319876971,-0.2364628988850442,-0.2519646289888504,0.022206843521722412,-0.04822760476739715,0.0271280276816609
8,BAB0008--H1,127.73897037,47.99733401,6.43,35.8,32.5,1.3665,3.09,-0.09842368319876971,-0.03543252595155709,0.2069357939254133,-0.2599000384467512,-0.03844675124951941,-0.08421376393694734,-0.2519646289888504,0.2599000384467512,0.12456747404844293,-0.017777777777777778,0.17279507881584008,-0.14769703960015382,0.029773164167627833,0.029773164167627833,-0.2364628988850442,0.13588619761630144,0.08421376393694734,-0.019930795847750864,-0.13588619761630144,-0.041584006151480196,0.06698961937716265,-0.05173394848135333,0.11374086889657825,-0.16000000000000003,-0.04822760476739715,0.17937716262975778,0.04822760476739715,0.022206843521722412,0.37425605536332185,-0.06698961937716265,0.0629911572472126,-0.01574778931180315,-0.05173394848135333,0.11374086889657825,-0.04822760476739715,0.19986159169550174,0.05173394848135333,0.07972318339100345,0.04822760476739715,-0.024605920799692427,-0.041584006151480196,-0.04822760476739715,-0.07535563244905807,0.09356401384083046,-0.03254133025759323,0.17279507881584008,0.08882737408688965,-0.07972318339100345,0.019930795847750864,-0.10340638216070744,0.19986159169550174,-0.017777777777777778,-0.12456747404844293,0.07535563244905807,0.11374086889657825,0.14769703960015382,0.07535563244905807,-0.05911572472126105,-0.03844675124951941,-0.17937716262975778,-0.2364628988850442,0.024605920799692427,0.0271280276816609,0.01384083044982699
9,BAB0021-H1,127.18302292,48.11394628,6.28,10.4,8.7,1.0343,0.9,-0.01574778931180315,0.09356401384083046,0.08421376393694734,-0.37425605536332185,0.01574778931180315,-0.019930795847750864,-0.2069357939254133,0.21413302575932336,0.0271280276816609,-0.07535563244905807,0.04822760476739715,-0.13016532103037293,0.003936947327950788,0.05911572472126105,-0.19986159169550174,0.1085121107266436,-0.019930795847750864,0.012056901191849288,-9.84236831987697E-4,0.13016532103037293,0.008858131487889272,0.03254133025759323,0.15378700499807765,-0.11909265667051133,-0.05536332179930796,0.11909265667051133,0.13016532103037293,-0.11909265667051133,0.3188927335640138,-0.15378700499807765,-0.029773164167627833,-0.05911572472126105,-0.11909265667051133,0.10340638216070744,-0.1085121107266436,0.14769703960015382,-0.01384083044982699,0.14769703960015382,0.14173010380622836,0.029773164167627833,0.024605920799692427,0.07111111111111111,-0.08421376393694734,0.003014225297962322,0.022206843521722412,0.21413302575932336,0.11374086889657825,-0.05536332179930796,0.06698961937716265,0.03254133025759323,0.3014225297962323,-0.0271280276816609,-0.15378700499807765,-0.05536332179930796,-0.004982698961937716,0.1085121107266436,-0.024605920799692427,-0.03543252595155709,-0.07535563244905807,-0.2519646289888504,-0.2364628988850442,0.01574778931180315,-0.06698961937716265,0.017777777777777778
10,BAB0022-H1,127.1942685,48.07193052,5.95,33.2,26.4,1.1558,2.56,-0.004982698961937716,0.09842368319876971,0.12456747404844293,-0.31009611687812383,-0.004982698961937716,-0.003014225297962322,-0.21413302575932336,0.19986159169550174,0.044844290657439445,-0.05173394848135333,0.06698961937716265,-0.1085121107266436,-0.03844675124951941,0.06698961937716265,-0.2364628988850442,0.06698961937716265,0.029773164167627833,0.01384083044982699,-0.01384083044982699,0.13588619761630144,0.05173394848135333,0.05911572472126105,0.14769703960015382,-0.16000000000000003,-0.07972318339100345,0.12456747404844293,0.09356401384083046,-0.07972318339100345,0.36472126105344094,-0.09356401384083046,0.05173394848135333,-0.04822760476739715,-0.14769703960015382,0.07111111111111111,-0.08421376393694734,0.2599000384467512,0.003936947327950788,0.09842368319876971,0.05911572472126105,0.03254133025759323,-0.08421376393694734,0.024605920799692427,-0.11374086889657825,-0.03543252595155709,-0.002214532871972318,0.21413302575932336,0.12456747404844293,-0.08421376393694734,0.007443291041906958,0.006151480199923107,0.28444444444444444,-0.07111111111111111,-0.17937716262975778,-0.07111111111111111,0.05173394848135333,0.05173394848135333,-0.006151480199923107,0.004982698961937716,-0.07972318339100345,-0.22145328719723184,-0.2364628988850442,-0.05911572472126105,-0.041584006151480196,-0.003014225297962322
