number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8397420605581486,2026-05-28 17:49:29.049878,2026-05-28 17:49:29.239884,0 days 00:00:00.190006,0.6201975341512912,4.330880728874676,29,0.04426505507739147,4,1.1552680028079323,862,0.06677615511747077,5.8692285114717775,0.6202083881990965,COMPLETE
1,0.8608260404055968,2026-05-28 17:49:29.239936,2026-05-28 17:49:29.423349,0 days 00:00:00.183413,0.6325320294340453,2.6237821581611893,9,0.01694932417124433,5,2.129769105510178,877,0.010707712109770782,1.0192873377205895,0.6318212352431953,COMPLETE
2,0.8426611800890396,2026-05-28 17:49:29.423393,2026-05-28 17:49:29.582949,0 days 00:00:00.159556,0.9033291826268561,2.571172192068058,42,0.02485254280893949,3,1.6424199098700283,228,0.06077686426194467,0.36462174779217404,0.7552314928976662,COMPLETE
3,0.8882907775783545,2026-05-28 17:49:29.582995,2026-05-28 17:49:29.738910,0 days 00:00:00.155915,0.9137788066524075,0.48836057003191935,42,0.10568649045073551,2,2.131736233194157,253,0.16413094407760043,1.905106397402321,0.9845344148835518,COMPLETE
4,0.8510253795946463,2026-05-28 17:49:29.738952,2026-05-28 17:49:29.889943,0 days 00:00:00.150991,0.8481350279592919,2.600340105889054,14,0.09579029805226609,2,2.1696653211808674,506,0.03706595581487583,0.6520470162863903,0.6664509917200077,COMPLETE
5,0.8265593393085073,2026-05-28 17:49:29.889982,2026-05-28 17:49:30.138893,0 days 00:00:00.248911,0.9648434057604026,0.979914312095726,63,0.09240189863957583,5,1.245946655446098,725,0.00016312543168284647,1.1762349745037362,0.8190549904649883,COMPLETE
6,0.8814383928183224,2026-05-28 17:49:30.138939,2026-05-28 17:49:30.298279,0 days 00:00:00.159340,0.7942132374212119,4.010984903770199,30,0.024266184742596376,5,1.4193280334856115,331,0.00022403260998810274,18.928359017833206,0.6764205293593214,COMPLETE
7,0.8841821521942302,2026-05-28 17:49:30.298320,2026-05-28 17:49:30.459135,0 days 00:00:00.160815,0.8780532256184443,0.3702232586704518,52,0.07586311661632818,2,6.797363478611678,275,0.0048352585996829555,0.48804047955123186,0.8680858047314277,COMPLETE
8,0.8537440245538066,2026-05-28 17:49:30.459179,2026-05-28 17:49:30.679401,0 days 00:00:00.220222,0.6963324949120362,3.1877873567760657,57,0.011710919068010249,3,6.1288261826461685,606,1.4756591831687822,2.1797073283273325,0.689942044772048,COMPLETE
9,0.8554538154682652,2026-05-28 17:49:30.679436,2026-05-28 17:49:30.839669,0 days 00:00:00.160233,0.7722080183639759,2.137705091792748,14,0.040338507491290705,5,3.6654176448828446,677,0.0001316569270260006,0.471960194555155,0.8969352309795524,COMPLETE
10,0.8773672072581057,2026-05-28 17:49:30.839709,2026-05-28 17:49:31.077083,0 days 00:00:00.237374,0.958449157877133,1.4253994575600704,63,0.05935743652622582,4,10.85841883793032,716,0.0009962986855211189,5.751759972189997,0.8290776038299996,COMPLETE
11,0.8669604250048397,2026-05-28 17:49:31.077123,2026-05-28 17:49:31.279195,0 days 00:00:00.202072,0.5822490890837615,4.764650470433553,28,0.049575642990384416,4,1.0172395701630137,858,0.5093741359087133,6.281562805699401,0.5805191204931796,COMPLETE
12,0.8426282810536104,2026-05-28 17:49:31.279234,2026-05-28 17:49:31.495130,0 days 00:00:00.215896,0.9956727917470727,1.1356950582543934,28,0.06507680967119027,4,1.0147397339506068,766,0.0019436393917674644,5.099788025627243,0.7928290480612589,COMPLETE
13,0.8679493584085354,2026-05-28 17:49:31.495171,2026-05-28 17:49:31.663962,0 days 00:00:00.168791,0.6895167521975207,4.826689730327275,39,0.1172008132091053,5,3.8428391864648677,540,0.1822216917896267,12.769197402415898,0.7304301863569198,COMPLETE
14,0.8525747075644159,2026-05-28 17:49:31.664003,2026-05-28 17:49:31.901751,0 days 00:00:00.237748,0.7415152589637231,3.9732268205604444,50,0.030331695677001204,4,1.6162869136797748,789,2.5443201951693384,1.1278012816757195,0.572150521059038,COMPLETE
15,0.849253558239291,2026-05-28 17:49:31.901788,2026-05-28 17:49:32.054650,0 days 00:00:00.152862,0.5541945269129984,1.6153718620647401,23,0.042459352650688585,3,1.2358275721653609,451,0.0006317684290517638,3.383949677563942,0.9331403249081984,COMPLETE
16,0.8551571518963776,2026-05-28 17:49:32.054691,2026-05-28 17:49:32.286249,0 days 00:00:00.231558,0.6220028207712258,3.5045799129788087,64,0.07651302773866235,5,2.7241399293371114,894,0.011200051943762702,9.237379683873542,0.813685701506053,COMPLETE
17,0.8553807045551945,2026-05-28 17:49:32.286295,2026-05-28 17:49:32.524739,0 days 00:00:00.238444,0.8245122218777666,0.852306392660565,47,0.0318153409577622,4,2.9696715589660374,644,0.00421226499384634,1.260141605142144,0.7208718808049347,COMPLETE
18,0.8317785529246114,2026-05-28 17:49:32.524779,2026-05-28 17:49:32.742153,0 days 00:00:00.217374,0.7021352060002385,1.8597144846182365,35,0.05329213700883053,5,4.661043861027532,792,0.10479380037622715,3.3752484139099104,0.6109636927306825,COMPLETE
19,0.8559931638788857,2026-05-28 17:49:32.742197,2026-05-28 17:49:32.951537,0 days 00:00:00.209340,0.7073700986884965,0.058104808137766195,37,0.08692344340232218,5,4.779890699328407,421,0.39103654035147434,3.1693710159397885,0.8564283592131832,COMPLETE
20,0.8514132161574167,2026-05-28 17:49:32.951574,2026-05-28 17:49:33.178997,0 days 00:00:00.227423,0.765382615833126,1.7412617057979627,56,0.056981974820413055,5,8.993727832651514,771,0.00043783726147498387,1.5282764582038388,0.7565284122101642,COMPLETE
21,0.8352723218402931,2026-05-28 17:49:33.179044,2026-05-28 17:49:33.407849,0 days 00:00:00.228805,0.6526264278606533,1.0519620272271297,33,0.0452412308142796,4,5.597204163256328,808,0.07223491789922239,3.122124910131649,0.6090425259176612,COMPLETE
22,0.8227338145013869,2026-05-28 17:49:33.407890,2026-05-28 17:49:33.613513,0 days 00:00:00.205623,0.6595795052205374,2.0093278559729373,33,0.0693726176095932,5,4.832842831069245,722,0.11123876316911904,2.8189824785571274,0.5547306046555396,COMPLETE
23,0.8564615527542807,2026-05-28 17:49:33.613552,2026-05-28 17:49:33.744337,0 days 00:00:00.130785,0.723134256327824,2.039634311861468,24,0.06767086173574821,5,4.927696091691331,144,0.021333961247982317,0.9232952893701474,0.5698926256539258,COMPLETE
24,0.8602594507165356,2026-05-28 17:49:33.744388,2026-05-28 17:49:33.930579,0 days 00:00:00.186191,0.666306334304477,2.1255178684933655,44,0.08973718511560096,5,7.834843659423838,591,0.8613671953814481,4.2126527801480025,0.5508349927200867,COMPLETE
25,0.8384294637733977,2026-05-28 17:49:33.930619,2026-05-28 17:49:34.145056,0 days 00:00:00.214437,0.823852908510245,0.7776845615266526,33,0.05332460646831959,5,4.53464731907902,714,0.17193446804170776,2.0003623999685254,0.6559383183496148,COMPLETE
26,0.8628277343093937,2026-05-28 17:49:34.145100,2026-05-28 17:49:34.323561,0 days 00:00:00.178461,0.5950884285775156,1.3235859990233962,20,0.07601295128210296,5,3.1138924238896704,704,3.8610332094466813,0.7407366305904592,0.6092130807255567,COMPLETE
27,0.8451911643751048,2026-05-28 17:49:34.323605,2026-05-28 17:49:34.517847,0 days 00:00:00.194242,0.7471279422052491,3.0407666456334868,35,0.11628075107356525,4,4.410831581710705,629,0.016429305328190518,1.5573051900283927,0.711579233984677,COMPLETE
28,0.8486974608271087,2026-05-28 17:49:34.517886,2026-05-28 17:49:34.734107,0 days 00:00:00.216221,0.798217276266361,1.8597517165631392,39,0.034636689326897424,5,7.659916972190374,819,0.3676570251354995,2.5830575046457143,0.934190380512994,COMPLETE
29,0.831079595097138,2026-05-28 17:49:34.734146,2026-05-28 17:49:34.933184,0 days 00:00:00.199038,0.6631807956155329,2.3198387469632493,58,0.06340638235002534,4,2.4818480756438217,546,0.08073702593980739,4.508646960662935,0.6332909797614896,COMPLETE
30,0.8452406564287109,2026-05-28 17:49:34.933233,2026-05-28 17:49:35.145207,0 days 00:00:00.211974,0.6577071282058288,2.9967011871266713,59,0.08833651800413338,3,2.477945625217649,546,0.0039033677595083117,7.526444021013815,0.6415060688746242,COMPLETE
31,0.8531040064617249,2026-05-28 17:49:35.145251,2026-05-28 17:49:35.398023,0 days 00:00:00.252772,0.680272003174185,2.2774466708820964,61,0.06618762684866997,4,3.7723035879254363,736,0.06379423331164905,4.519930011456923,0.6113770544089959,COMPLETE
32,0.8529975755777788,2026-05-28 17:49:35.398063,2026-05-28 17:49:35.629877,0 days 00:00:00.231814,0.6291725240345823,1.5854930179745175,51,0.04851931621424735,5,5.702120187682603,668,0.1192835853558102,3.8366535547171616,0.5917853434710024,COMPLETE
33,0.8353071525544508,2026-05-28 17:49:35.629919,2026-05-28 17:49:35.872200,0 days 00:00:00.242281,0.5921714318133422,2.4920378320669396,55,0.05888262695058411,5,1.6431698279605393,858,0.037017687359880085,2.352323329440252,0.6309519328587626,COMPLETE
34,0.8529427206360551,2026-05-28 17:49:35.872244,2026-05-28 17:49:36.079107,0 days 00:00:00.206863,0.7202099866568097,2.320324411739527,45,0.03817063446524469,4,1.9024123171599343,403,0.028614121874876025,8.59596142126353,0.5505532647970448,COMPLETE
35,0.8299100799234755,2026-05-28 17:49:36.079149,2026-05-28 17:49:36.277569,0 days 00:00:00.198420,0.6469512292545608,2.710945781923253,41,0.07726761231482798,5,3.2527598417868653,571,0.08900959879665185,1.565431077265386,0.7729219461755436,COMPLETE
36,0.8621921727318609,2026-05-28 17:49:36.277622,2026-05-28 17:49:36.480222,0 days 00:00:00.202600,0.6434653816940283,2.844088499340727,60,0.10330885911620347,4,2.4101004071696805,486,0.22118006761932563,0.7681112756982407,0.7464260435084096,COMPLETE
37,0.8304570140811336,2026-05-28 17:49:36.480265,2026-05-28 17:49:36.652555,0 days 00:00:00.172290,0.5619926663765824,3.375688420604991,47,0.07756086525283484,5,3.1306022353136886,582,0.008834864977452003,1.690612349565778,0.7796195914384353,COMPLETE
38,0.8267801424422287,2026-05-28 17:49:36.652597,2026-05-28 17:49:36.843618,0 days 00:00:00.191021,0.5644952275017303,3.325172992482027,48,0.07737190589420209,5,3.254634861013815,624,0.00838493679455603,1.54956602770654,0.7919142614796826,COMPLETE
39,0.8375215510569538,2026-05-28 17:49:36.843658,2026-05-28 17:49:37.065585,0 days 00:00:00.221927,0.6057802317346456,3.8008840820886123,42,0.021264434185457662,5,1.9969029275375076,674,0.00012748447198728446,0.3119269680272155,0.8225201059382857,COMPLETE
40,0.8396044610140321,2026-05-28 17:49:37.065629,2026-05-28 17:49:37.280385,0 days 00:00:00.214756,0.9016446491043126,4.3989776292872635,53,0.09960903249221195,2,4.067810411213878,630,0.0016944209782911038,1.2872156572410283,0.8518412940279433,COMPLETE
41,0.8496415138862737,2026-05-28 17:49:37.280427,2026-05-28 17:49:37.472312,0 days 00:00:00.191885,0.5556334144276107,2.7408564341383417,47,0.08110810846900393,5,3.382095848760923,587,0.008169434437839886,1.6372515912510937,0.7972774868700027,COMPLETE
42,0.8324774670619879,2026-05-28 17:49:37.472368,2026-05-28 17:49:37.668024,0 days 00:00:00.195656,0.5788420264862815,3.472625078126459,48,0.07320324888815162,5,3.31464322192597,575,0.007551322896336696,1.7191450608049763,0.7864165859178478,COMPLETE
43,0.8548110948268424,2026-05-28 17:49:37.668068,2026-05-28 17:49:37.895376,0 days 00:00:00.227308,0.6101546947714931,3.346889073635593,40,0.011267151626971445,5,2.9993969718302997,502,0.046247822909723776,2.4794623067540686,0.8956027772372148,COMPLETE
44,0.8486567271674108,2026-05-28 17:49:37.895413,2026-05-28 17:49:38.090536,0 days 00:00:00.195123,0.569262648922272,3.6690255565169516,44,0.09908307765165282,5,1.3773786706110973,739,0.002085702962713643,0.8963249892571059,0.7727583152204178,COMPLETE
45,0.831544431499676,2026-05-28 17:49:38.090577,2026-05-28 17:49:38.304125,0 days 00:00:00.213548,0.932512968988134,4.267598017505527,30,0.015376455164184994,5,2.768389291260711,654,0.015823480835616133,0.4833582958328618,0.6892696527459979,COMPLETE
46,0.835654834773577,2026-05-28 17:49:38.304165,2026-05-28 17:49:38.508540,0 days 00:00:00.204375,0.8578450605069105,3.1040201227993314,54,0.11088691900437195,5,4.163077444467908,614,0.00031806489564804223,1.3018888668162367,0.7664837858573872,COMPLETE
47,0.8483119282542656,2026-05-28 17:49:38.508582,2026-05-28 17:49:38.739917,0 days 00:00:00.231335,0.9759979630037459,2.548545380944094,50,0.08367405666129175,5,5.2551620304648194,691,0.001049537841931044,1.064189739200287,0.8458107364844911,COMPLETE
48,0.8531339597970191,2026-05-28 17:49:38.739958,2026-05-28 17:49:38.905158,0 days 00:00:00.165200,0.5716184818331088,3.208120685238744,42,0.07324940634350771,5,2.2151357803597147,471,0.9724683204621222,1.9137968217394676,0.8751212071438305,COMPLETE
49,0.954866511440367,2026-05-28 17:49:38.905201,2026-05-28 17:49:39.066156,0 days 00:00:00.160955,0.6387085045984936,0.4524612713575096,8,0.09649464041060554,5,6.240848633465191,550,0.00019723511431786608,2.5768272940171664,0.8116935600104708,COMPLETE
50,0.8586736742767863,2026-05-28 17:49:39.066204,2026-05-28 17:49:39.248896,0 days 00:00:00.182692,0.609379720400229,2.799346485856809,37,0.06875021416574185,3,11.954123406804195,743,0.0034541965175012984,1.4080950205265323,0.9346095867677249,COMPLETE
51,0.8307891737078729,2026-05-28 17:49:39.248935,2026-05-28 17:49:39.446339,0 days 00:00:00.197404,0.669667316602767,2.48168724923951,58,0.06285594544690841,4,3.580812521000828,524,0.08046161921619799,2.075988909413874,0.7326155142077305,COMPLETE
52,0.8133942315715179,2026-05-28 17:49:39.446379,2026-05-28 17:49:39.651992,0 days 00:00:00.205613,0.6802781747382224,3.3160976881724413,62,0.0803629895982806,4,3.5392046972493643,518,0.31163440913595036,0.5955418842548829,0.7426359142783837,COMPLETE
53,0.8134891849916668,2026-05-28 17:49:39.652041,2026-05-28 17:49:39.823430,0 days 00:00:00.171389,0.5545615553608536,3.640835435541844,63,0.08059411783382478,3,3.273705388699412,398,0.3568505417428376,0.4035980802311214,0.8349601719556233,COMPLETE
54,0.8560321124320472,2026-05-28 17:49:39.823480,2026-05-28 17:49:40.021412,0 days 00:00:00.197932,0.631606992356915,3.7498308370354465,62,0.08957827646907053,3,4.104130692140422,432,0.26759017642588406,0.42623663646923854,0.9990564809509803,COMPLETE
55,0.8526593991904228,2026-05-28 17:49:40.021453,2026-05-28 17:49:40.201565,0 days 00:00:00.180112,0.5870332648968922,4.168997196303784,64,0.10792306475249952,3,1.1393576012979323,382,0.712706290081855,0.6264369300675111,0.8013094678876056,COMPLETE
56,0.8387130499560016,2026-05-28 17:49:40.201611,2026-05-28 17:49:40.381900,0 days 00:00:00.180289,0.6934277350167457,3.59148335826169,62,0.0814754785154446,2,2.7684187011465817,315,0.12123592860710958,0.5795317736694324,0.8410387229937285,COMPLETE
57,0.8409619133347764,2026-05-28 17:49:40.381953,2026-05-28 17:49:40.567610,0 days 00:00:00.185657,0.7412249456512128,3.9039463153111043,56,0.05456216603078225,3,3.701566133592768,366,0.5410934618318199,0.395070247633875,0.8805570067077467,COMPLETE
58,0.857096275574247,2026-05-28 17:49:40.567651,2026-05-28 17:49:40.714340,0 days 00:00:00.146689,0.6145047436056044,4.636015831178293,25,0.07070279718184774,3,1.7399114774576634,253,1.5558029813502003,0.3579776484217791,0.8320421775314102,COMPLETE
59,0.8264985716136003,2026-05-28 17:49:40.714381,2026-05-28 17:49:40.912707,0 days 00:00:00.198326,0.678995932465739,3.1728308650090566,64,0.09461959888606529,3,6.713401340908999,460,0.3255508518351974,0.5656910544271717,0.7474239673521249,COMPLETE
60,0.8890333725524588,2026-05-28 17:49:40.912745,2026-05-28 17:49:41.109509,0 days 00:00:00.196764,0.7987279370475349,0.21226077799627796,64,0.11809578970458659,3,6.977291462968987,333,0.28944593961583787,0.5612101061385538,0.745873644034093,COMPLETE
61,0.8536365775314747,2026-05-28 17:49:41.109563,2026-05-28 17:49:41.308350,0 days 00:00:00.198787,0.6802028340718264,2.929830517288612,62,0.0930705291153865,3,9.54045181958063,477,0.16178249891990468,0.7469701211822254,0.7160347136313459,COMPLETE
62,0.8269748835022789,2026-05-28 17:49:41.308411,2026-05-28 17:49:41.514288,0 days 00:00:00.205877,0.7170835295875977,3.195636044593437,60,0.083586215858541,2,4.9889491005830156,520,0.44300649817415444,0.3045260896626361,0.7621464828636776,COMPLETE
63,0.8437396624405457,2026-05-28 17:49:41.514334,2026-05-28 17:49:41.708620,0 days 00:00:00.194286,0.7127648569490755,3.214877189081873,60,0.08592631731105205,2,5.23895847268895,445,1.4272628082273466,0.3035407068929998,0.8070359018198283,COMPLETE
64,0.8370309344623337,2026-05-28 17:49:41.708659,2026-05-28 17:49:41.896518,0 days 00:00:00.187859,0.7511086051356757,3.340152782436892,58,0.1055047302368321,2,6.64285783623987,518,0.4230768551707148,0.5112649641378305,0.7600486237042489,COMPLETE
65,0.8512630802608449,2026-05-28 17:49:41.896558,2026-05-28 17:49:42.084871,0 days 00:00:00.188313,0.7711071373898699,3.565988718395852,60,0.09412246115188973,2,8.513222029272688,459,1.1843637174291415,0.34692673307163613,0.6990870901487872,COMPLETE
66,0.8451471167191841,2026-05-28 17:49:42.084911,2026-05-28 17:49:42.284103,0 days 00:00:00.199192,0.7234947394301486,0.7100261687733807,64,0.061893957986572226,3,5.857374262206468,398,0.5939205251920024,0.42669591744183,0.7384609735623513,COMPLETE
67,0.8711523787688596,2026-05-28 17:49:42.284147,2026-05-28 17:49:42.520876,0 days 00:00:00.236729,0.6826872003370472,1.1968434486090633,56,0.08085897728765157,2,5.056794647075776,829,0.3168694599927723,0.9078105787344668,0.8233875972472174,COMPLETE
68,0.834117841673877,2026-05-28 17:49:42.520914,2026-05-28 17:49:42.693462,0 days 00:00:00.172548,0.6996704953674272,4.043390635537416,62,0.06868980209446929,4,6.2911324619831355,419,0.16746576995568296,0.6907446302551005,0.6615432757670519,COMPLETE
69,0.8385991912689275,2026-05-28 17:49:42.693504,2026-05-28 17:49:42.879786,0 days 00:00:00.186282,0.7584686030046015,3.1946559517183593,59,0.02650960870758852,3,4.505289420938287,351,0.214014265813611,0.5456089899159164,0.7886240282484991,COMPLETE
70,0.8670290757719383,2026-05-28 17:49:42.879827,2026-05-28 17:49:43.054290,0 days 00:00:00.174463,0.6697596016876499,2.941951477924853,14,0.047246871348135745,4,7.057482722576793,762,2.276163930219278,0.4650612093482657,0.6853753834667965,COMPLETE
71,0.8273011348864584,2026-05-28 17:49:43.054337,2026-05-28 17:49:43.261232,0 days 00:00:00.206895,0.6435888305335505,2.6198409962431572,61,0.07635959496248909,5,3.410098954694066,504,0.10599835615270092,0.813069481310362,0.7732622520736209,COMPLETE
72,0.8252600945528265,2026-05-28 17:49:43.261271,2026-05-28 17:49:43.435103,0 days 00:00:00.173832,0.6563658366501388,2.030173577575832,33,0.08429871211190051,3,4.218902302926896,495,0.13347031753212055,0.8517458776353571,0.7229070360160681,COMPLETE
