number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.6063020734525305,2026-05-28 17:48:15.958555,2026-05-28 17:48:18.238286,0 days 00:00:02.279731,0.6201975341512912,4.330880728874676,29,0.04426505507739147,4,1.1552680028079323,862,0.06677615511747077,5.8692285114717775,0.6202083881990965,COMPLETE
1,0.5681212178799663,2026-05-28 17:48:18.238893,2026-05-28 17:48:19.777963,0 days 00:00:01.539070,0.6325320294340453,2.6237821581611893,9,0.01694932417124433,5,2.129769105510178,877,0.010707712109770782,1.0192873377205895,0.6318212352431953,COMPLETE
2,0.5944621052341275,2026-05-28 17:48:19.778034,2026-05-28 17:48:19.915472,0 days 00:00:00.137438,0.9033291826268561,2.571172192068058,42,0.02485254280893949,3,1.6424199098700283,228,0.06077686426194467,0.36462174779217404,0.7552314928976662,COMPLETE
3,0.5938371703143576,2026-05-28 17:48:19.915514,2026-05-28 17:48:20.039521,0 days 00:00:00.124007,0.9137788066524075,0.48836057003191935,42,0.10568649045073551,2,2.131736233194157,253,0.16413094407760043,1.905106397402321,0.9845344148835518,COMPLETE
4,0.6012114921505728,2026-05-28 17:48:20.039557,2026-05-28 17:48:20.155837,0 days 00:00:00.116280,0.8481350279592919,2.600340105889054,14,0.09579029805226609,2,2.1696653211808674,506,0.03706595581487583,0.6520470162863903,0.6664509917200077,COMPLETE
5,0.591470565636165,2026-05-28 17:48:20.155873,2026-05-28 17:48:20.341150,0 days 00:00:00.185277,0.9648434057604026,0.979914312095726,63,0.09240189863957583,5,1.245946655446098,725,0.00016312543168284647,1.1762349745037362,0.8190549904649883,COMPLETE
6,0.6316384725515476,2026-05-28 17:48:20.341189,2026-05-28 17:48:20.461347,0 days 00:00:00.120158,0.7942132374212119,4.010984903770199,30,0.024266184742596376,5,1.4193280334856115,331,0.00022403260998810274,18.928359017833206,0.6764205293593214,COMPLETE
7,0.5874695752964405,2026-05-28 17:48:20.461384,2026-05-28 17:48:20.588539,0 days 00:00:00.127155,0.8780532256184443,0.3702232586704518,52,0.07586311661632818,2,6.797363478611678,275,0.0048352585996829555,0.48804047955123186,0.8680858047314277,COMPLETE
8,0.6028391435026713,2026-05-28 17:48:20.588572,2026-05-28 17:48:20.748696,0 days 00:00:00.160124,0.6963324949120362,3.1877873567760657,57,0.011710919068010249,3,6.1288261826461685,606,1.4756591831687822,2.1797073283273325,0.689942044772048,COMPLETE
9,0.5843433033232529,2026-05-28 17:48:20.748740,2026-05-28 17:48:20.885032,0 days 00:00:00.136292,0.7722080183639759,2.137705091792748,14,0.040338507491290705,5,3.6654176448828446,677,0.0001316569270260006,0.471960194555155,0.8969352309795524,COMPLETE
