number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,10.98935284254284,2026-05-28 17:48:32.109056,2026-05-28 17:48:32.339013,0 days 00:00:00.229957,0.6201975341512912,4.330880728874676,29,0.04426505507739147,4,1.1552680028079323,862,0.06677615511747077,5.8692285114717775,0.6202083881990965,COMPLETE
1,12.53906050765599,2026-05-28 17:48:32.339048,2026-05-28 17:48:32.544051,0 days 00:00:00.205003,0.6325320294340453,2.6237821581611893,9,0.01694932417124433,5,2.129769105510178,877,0.010707712109770782,1.0192873377205895,0.6318212352431953,COMPLETE
2,10.86892165788394,2026-05-28 17:48:32.544087,2026-05-28 17:48:32.705143,0 days 00:00:00.161056,0.9033291826268561,2.571172192068058,42,0.02485254280893949,3,1.6424199098700283,228,0.06077686426194467,0.36462174779217404,0.7552314928976662,COMPLETE
3,11.343828080598152,2026-05-28 17:48:32.705182,2026-05-28 17:48:32.853427,0 days 00:00:00.148245,0.9137788066524075,0.48836057003191935,42,0.10568649045073551,2,2.131736233194157,253,0.16413094407760043,1.905106397402321,0.9845344148835518,COMPLETE
4,12.9798868108319,2026-05-28 17:48:32.853474,2026-05-28 17:48:32.991486,0 days 00:00:00.138012,0.8481350279592919,2.600340105889054,14,0.09579029805226609,2,2.1696653211808674,506,0.03706595581487583,0.6520470162863903,0.6664509917200077,COMPLETE
5,11.8438968842742,2026-05-28 17:48:32.991524,2026-05-28 17:48:33.281811,0 days 00:00:00.290287,0.9648434057604026,0.979914312095726,63,0.09240189863957583,5,1.245946655446098,725,0.00016312543168284647,1.1762349745037362,0.8190549904649883,COMPLETE
6,11.560801390219941,2026-05-28 17:48:33.281846,2026-05-28 17:48:33.515629,0 days 00:00:00.233783,0.7942132374212119,4.010984903770199,30,0.024266184742596376,5,1.4193280334856115,331,0.00022403260998810274,18.928359017833206,0.6764205293593214,COMPLETE
7,11.341578104698794,2026-05-28 17:48:33.515663,2026-05-28 17:48:33.665269,0 days 00:00:00.149606,0.8780532256184443,0.3702232586704518,52,0.07586311661632818,2,6.797363478611678,275,0.0048352585996829555,0.48804047955123186,0.8680858047314277,COMPLETE
8,11.19504214996106,2026-05-28 17:48:33.665309,2026-05-28 17:48:33.915853,0 days 00:00:00.250544,0.6963324949120362,3.1877873567760657,57,0.011710919068010249,3,6.1288261826461685,606,1.4756591831687822,2.1797073283273325,0.689942044772048,COMPLETE
9,11.930464971363431,2026-05-28 17:48:33.915893,2026-05-28 17:48:34.086919,0 days 00:00:00.171026,0.7722080183639759,2.137705091792748,14,0.040338507491290705,5,3.6654176448828446,677,0.0001316569270260006,0.471960194555155,0.8969352309795524,COMPLETE
10,11.490776762416088,2026-05-28 17:48:34.086956,2026-05-28 17:48:34.217301,0 days 00:00:00.130345,0.958449157877133,1.626799989856424,44,0.023676362309657823,3,10.85841883793032,124,2.816731511736821,0.31591896979108236,0.7592450782409965,COMPLETE
11,11.128302157987024,2026-05-28 17:48:34.217338,2026-05-28 17:48:34.407156,0 days 00:00:00.189818,0.5822490890837615,4.970175626966421,27,0.04850021742493449,4,1.0172395701630137,463,0.15640496268734713,6.76647694513584,0.5805191204931794,COMPLETE
12,10.99630667806132,2026-05-28 17:48:34.407197,2026-05-28 17:48:34.653546,0 days 00:00:00.246349,0.7213732234620763,4.103066254686074,28,0.05566977043962802,4,1.6771558519303504,900,0.0015776032557137754,5.099788025627243,0.5824027225293101,COMPLETE
13,11.267103389072593,2026-05-28 17:48:34.653582,2026-05-28 17:48:34.821949,0 days 00:00:00.168367,0.5663385085273263,3.5827982859111414,37,0.027553599404574323,3,3.426723046729514,411,0.13469160656633347,6.218484181557723,0.7609669412457827,COMPLETE
14,11.40017554252963,2026-05-28 17:48:34.821992,2026-05-28 17:48:34.954299,0 days 00:00:00.132307,0.6689765369486895,4.8463492602435885,23,0.03225945633356789,4,1.0331765679676153,148,0.039733833680515473,12.064434683371202,0.7318681668809583,COMPLETE
15,10.815386085907242,2026-05-28 17:48:34.954344,2026-05-28 17:48:35.247312,0 days 00:00:00.292968,0.8062428393130682,3.129989624132342,47,0.017303624360382217,3,3.133780880845067,793,0.8905515245537556,3.383949677563942,0.5521330538438903,COMPLETE
16,10.893033563207604,2026-05-28 17:48:35.247356,2026-05-28 17:48:35.511793,0 days 00:00:00.264437,0.8153205354048031,3.1564524996793595,49,0.015498750415514054,3,3.4308873879135255,604,0.5492932150850512,3.0290358793373366,0.5520774779800595,COMPLETE
17,11.125362584103737,2026-05-28 17:48:35.511829,2026-05-28 17:48:35.811825,0 days 00:00:00.299996,0.9048120386273579,1.7483852561884543,40,0.01856433155374132,3,4.581892799223953,765,0.7035805464578644,3.4388955096393303,0.8206537353607573,COMPLETE
18,10.963145034631426,2026-05-28 17:48:35.811862,2026-05-28 17:48:35.982071,0 days 00:00:00.170209,0.7579796241779347,3.1631519638115915,47,0.011344349245533712,2,2.676216338975278,376,4.931588476910032,1.1665195636350407,0.9960747382646197,COMPLETE
19,10.9039088320627,2026-05-28 17:48:35.982108,2026-05-28 17:48:36.308503,0 days 00:00:00.326395,0.9891721533267047,1.3898006242315606,54,0.020416989795853335,3,1.6829348735129726,591,0.42089454274311056,1.4893770250306362,0.9282463928542521,COMPLETE
20,11.232009152436657,2026-05-28 17:48:36.308539,2026-05-28 17:48:36.511858,0 days 00:00:00.203319,0.8691991860177883,2.2221216091616545,61,0.014432187541154893,4,2.626677259240351,215,0.012571188926683734,0.7306153936614981,0.7161821132580212,COMPLETE
21,10.904111691867644,2026-05-28 17:48:36.511895,2026-05-28 17:48:36.766712,0 days 00:00:00.254817,0.8294342442164142,3.0185955431398805,47,0.014590205483406827,3,4.332157083218446,584,0.5492237139570497,3.3193037675534005,0.555878977340373,COMPLETE
22,10.652285000713478,2026-05-28 17:48:36.766748,2026-05-28 17:48:37.123627,0 days 00:00:00.356879,0.80535039017285,3.430549421728615,51,0.010105263144894466,3,2.9851843295352833,796,1.1633427208402816,3.317643014592764,0.6227940342600335,COMPLETE
23,11.297419972649934,2026-05-28 17:48:37.123683,2026-05-28 17:48:37.409949,0 days 00:00:00.286266,0.7491553047352786,3.6642126291560837,35,0.010332580045297598,3,2.733746883400295,770,1.4749749320583196,10.638566123559078,0.6318156288878118,COMPLETE
24,10.997579035397376,2026-05-28 17:48:37.409989,2026-05-28 17:48:37.682471,0 days 00:00:00.272482,0.9205756870243442,3.62675262770766,56,0.012527593624124199,2,6.015857627628055,817,0.2692444574824073,3.963135209841843,0.6071019596010085,COMPLETE
25,11.189947509726073,2026-05-28 17:48:37.682508,2026-05-28 17:48:37.950474,0 days 00:00:00.267966,0.8030806063766626,2.568786482512145,38,0.029379667679258002,3,1.6358676717079623,664,1.6382256782034634,2.336384642801718,0.8115042154954453,COMPLETE
26,10.816087676522152,2026-05-28 17:48:37.950509,2026-05-28 17:48:38.336256,0 days 00:00:00.385747,0.8424410088837396,2.1508606502010874,51,0.021603679110637895,4,4.803889921761857,811,0.09047548885020157,8.759549095493593,0.5995635074341681,COMPLETE
27,11.04017245000755,2026-05-28 17:48:38.336293,2026-05-28 17:48:38.701166,0 days 00:00:00.364873,0.8472640163891519,2.1049867258700234,51,0.020133234196511526,4,7.961216188837664,815,1.028100472710734,8.673211272047212,0.6501197302537707,COMPLETE
28,11.413073014508747,2026-05-28 17:48:38.701205,2026-05-28 17:48:39.074844,0 days 00:00:00.373639,0.7349046297251954,4.51252578708174,57,0.012735089396252258,4,4.3618157422611,699,3.2575083810790693,16.996503003565646,0.586626967502321,COMPLETE
29,10.676777895877681,2026-05-28 17:48:39.074883,2026-05-28 17:48:39.411771,0 days 00:00:00.336888,0.7830848475484232,2.915401603440366,46,0.039030063859144,4,4.684716755467154,838,0.11233136678742688,5.516688898404926,0.6060362900730872,COMPLETE
30,11.131215417532173,2026-05-28 17:48:39.411808,2026-05-28 17:48:39.678582,0 days 00:00:00.266774,0.707263296403786,3.9723421458240207,33,0.03779089600366759,4,3.1192803053860056,857,0.35346441957526376,4.6064482907145194,0.7038432638137477,COMPLETE
31,10.937513633701041,2026-05-28 17:48:39.678619,2026-05-28 17:48:40.017226,0 days 00:00:00.338607,0.7926454616710347,2.8592969246432185,60,0.056802546599031126,4,4.879089041762587,812,0.08134873692729103,7.632268303675899,0.6052862429286137,COMPLETE
32,10.970147033828155,2026-05-28 17:48:40.017261,2026-05-28 17:48:40.339537,0 days 00:00:00.322276,0.8361919565049013,3.372810155447548,47,0.033766683685596106,4,5.1657988004112525,738,0.018022980606449725,5.037633919193604,0.6402866871586032,COMPLETE
33,10.987640938781025,2026-05-28 17:48:40.339574,2026-05-28 17:48:40.706540,0 days 00:00:00.366966,0.7782812046466987,2.218271174207452,44,0.01735971087829225,4,4.035971563840904,848,0.08401350893440412,11.584774895640853,0.6095337276980748,COMPLETE
34,11.072764745858175,2026-05-28 17:48:40.706595,2026-05-28 17:48:41.057389,0 days 00:00:00.350794,0.8724191982726373,2.759221292063331,51,0.047400345422969586,5,7.997505638625906,767,0.2279271154410466,1.7566977472253127,0.5509714089021829,COMPLETE
35,11.131982598124372,2026-05-28 17:48:41.057425,2026-05-28 17:48:41.362478,0 days 00:00:00.305053,0.6844747500130977,1.8082494262344058,44,0.021891918324931252,3,5.362373274722543,880,0.04781738228569791,2.8951937556786094,0.6533213006074178,COMPLETE
36,10.71225560818687,2026-05-28 17:48:41.362514,2026-05-28 17:48:41.671704,0 days 00:00:00.309190,0.8072841588061667,2.418968329593199,54,0.0271512537051649,3,2.336367071855083,651,0.0037324871658557172,4.063918120443459,0.5770822380169965,COMPLETE
37,11.062320770158868,2026-05-28 17:48:41.671742,2026-05-28 17:48:41.891962,0 days 00:00:00.220220,0.6298897232492323,3.44979184800078,59,0.027132184705465814,2,2.3309187633876767,657,0.0038100700914433703,2.6618361101113197,0.5729769844554724,COMPLETE
38,10.909806224016297,2026-05-28 17:48:41.891999,2026-05-28 17:48:42.183340,0 days 00:00:00.291341,0.8175030022144238,2.449709238444955,64,0.0397211380801529,3,3.02467994619129,554,0.0003438228770636229,4.329605899491156,0.6233961408113132,COMPLETE
39,10.619506465576995,2026-05-28 17:48:42.183376,2026-05-28 17:48:42.502930,0 days 00:00:00.319554,0.7568602319558302,1.1258921880769281,54,0.01583830322339415,3,2.001613513112266,730,0.0008178494237754392,1.544548853537587,0.6779765259623026,COMPLETE
