number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.17341730162588317,2026-05-28 17:49:15.476501,2026-05-28 17:49:15.663945,0 days 00:00:00.187444,0.6201975341512912,4.330880728874676,29,0.04426505507739147,4,1.1552680028079323,862,0.06677615511747077,5.8692285114717775,0.6202083881990965,COMPLETE
1,0.1734531514747617,2026-05-28 17:49:15.663981,2026-05-28 17:49:15.812776,0 days 00:00:00.148795,0.6325320294340453,2.6237821581611893,9,0.01694932417124433,5,2.129769105510178,877,0.010707712109770782,1.0192873377205895,0.6318212352431953,COMPLETE
2,0.17355349971853656,2026-05-28 17:49:15.812812,2026-05-28 17:49:15.941248,0 days 00:00:00.128436,0.9033291826268561,2.571172192068058,42,0.02485254280893949,3,1.6424199098700283,228,0.06077686426194467,0.36462174779217404,0.7552314928976662,COMPLETE
3,0.17234712038332384,2026-05-28 17:49:15.941285,2026-05-28 17:49:16.067351,0 days 00:00:00.126066,0.9137788066524075,0.48836057003191935,42,0.10568649045073551,2,2.131736233194157,253,0.16413094407760043,1.905106397402321,0.9845344148835518,COMPLETE
4,0.173407850243512,2026-05-28 17:49:16.067393,2026-05-28 17:49:16.216926,0 days 00:00:00.149533,0.8481350279592919,2.600340105889054,14,0.09579029805226609,2,2.1696653211808674,506,0.03706595581487583,0.6520470162863903,0.6664509917200077,COMPLETE
5,0.17353096756421427,2026-05-28 17:49:16.216966,2026-05-28 17:49:16.430558,0 days 00:00:00.213592,0.9648434057604026,0.979914312095726,63,0.09240189863957583,5,1.245946655446098,725,0.00016312543168284647,1.1762349745037362,0.8190549904649883,COMPLETE
6,0.17348527590580162,2026-05-28 17:49:16.430597,2026-05-28 17:49:16.566183,0 days 00:00:00.135586,0.7942132374212119,4.010984903770199,30,0.024266184742596376,5,1.4193280334856115,331,0.00022403260998810274,18.928359017833206,0.6764205293593214,COMPLETE
7,0.16847149702466357,2026-05-28 17:49:16.566221,2026-05-28 17:49:16.705280,0 days 00:00:00.139059,0.8780532256184443,0.3702232586704518,52,0.07586311661632818,2,6.797363478611678,275,0.0048352585996829555,0.48804047955123186,0.8680858047314277,COMPLETE
8,0.17351646211369073,2026-05-28 17:49:16.705317,2026-05-28 17:49:16.880482,0 days 00:00:00.175165,0.6963324949120362,3.1877873567760657,57,0.011710919068010249,3,6.1288261826461685,606,1.4756591831687822,2.1797073283273325,0.689942044772048,COMPLETE
9,0.17349056916473427,2026-05-28 17:49:16.880520,2026-05-28 17:49:17.040227,0 days 00:00:00.159707,0.7722080183639759,2.137705091792748,14,0.040338507491290705,5,3.6654176448828446,677,0.0001316569270260006,0.471960194555155,0.8969352309795524,COMPLETE
10,0.16839824113578372,2026-05-28 17:49:17.040272,2026-05-28 17:49:17.187998,0 days 00:00:00.147726,0.7211318321133148,0.05461076914541213,52,0.05883780667384858,2,11.0196115029984,124,0.0026303975463421534,4.874849293328608,0.8802894898904549,COMPLETE
11,0.16934715595433533,2026-05-28 17:49:17.188055,2026-05-28 17:49:17.317505,0 days 00:00:00.129450,0.7352730556778843,0.021241048345488914,51,0.05883756133012837,2,11.842704036138151,127,0.00289429953210032,5.782756035493873,0.8798506066441854,COMPLETE
12,0.17351536129298317,2026-05-28 17:49:17.317555,2026-05-28 17:49:17.483266,0 days 00:00:00.165711,0.5651136482205126,1.1356950582543934,51,0.06059230385461877,3,11.700570384238704,406,0.001992230190208434,4.944431402788813,0.9710185489305838,COMPLETE
13,0.17358872554439952,2026-05-28 17:49:17.483319,2026-05-28 17:49:17.628617,0 days 00:00:00.145298,0.8401031583706384,1.5112390549683097,64,0.06563640546413489,2,7.276054244209792,121,0.0015677982074314189,12.06304045620998,0.8597032803775897,COMPLETE
14,0.17211396512773128,2026-05-28 17:49:17.628659,2026-05-28 17:49:17.798880,0 days 00:00:00.170221,0.9903382062512188,0.012433658115703017,48,0.07120592886520934,4,7.061777776223837,249,0.0066753225162625544,3.6787412619162136,0.7692618138676716,COMPLETE
15,0.17337947391151892,2026-05-28 17:49:17.798924,2026-05-28 17:49:17.963532,0 days 00:00:00.164608,0.6943428093342185,1.6401649202100015,38,0.046683017730347595,3,5.53657613532364,413,0.0007175336574729,8.755135180831513,0.5521330538438903,COMPLETE
16,0.17355948073076438,2026-05-28 17:49:17.963574,2026-05-28 17:49:18.105754,0 days 00:00:00.142180,0.8397196202831652,0.6578910690896032,57,0.028842687205050933,2,9.019859641059604,208,0.5492932150850512,1.332940646000304,0.91853152310199,COMPLETE
17,0.1710328145187384,2026-05-28 17:49:18.105793,2026-05-28 17:49:18.248075,0 days 00:00:00.142282,0.8895426063807947,0.4908515732450751,29,0.08126885091567919,2,4.39822968390387,327,0.0006374376705701395,3.247183910568867,0.8152678454957758,COMPLETE
18,0.17351134481993807,2026-05-28 17:49:18.248118,2026-05-28 17:49:18.415259,0 days 00:00:00.167141,0.7787374881525432,1.8307871150682056,57,0.052607920537837596,4,8.481317397266192,487,0.010463602171936376,10.071632789302322,0.936285945585005,COMPLETE
19,0.1735026166603012,2026-05-28 17:49:18.415294,2026-05-28 17:49:18.534807,0 days 00:00:00.119513,0.7102165533131967,4.906565433791467,45,0.038201079134052504,3,4.849939796827627,162,4.677754615679879,0.30082036995006145,0.8326714318650986,COMPLETE
20,0.17357751761584045,2026-05-28 17:49:18.534852,2026-05-28 17:49:18.678769,0 days 00:00:00.143917,0.6413012718512641,1.1138327858175547,35,0.1133965995186213,2,3.1162781139993525,322,0.0052352388564978715,0.7306153936614981,0.7293501524980576,COMPLETE
21,0.1685423663230477,2026-05-28 17:49:18.678813,2026-05-28 17:49:18.811762,0 days 00:00:00.132949,0.7488459087385355,0.14368609301383195,52,0.05809371076975434,2,11.193648142306532,154,0.0026099017815385686,6.027144340115627,0.8760593250290768,COMPLETE
22,0.16887171489973105,2026-05-28 17:49:18.811809,2026-05-28 17:49:18.956716,0 days 00:00:00.144907,0.7339308296960056,0.01176269201612895,53,0.07634435761917958,2,9.986805896351443,197,0.0006577270332855183,3.618859761847245,0.866892208029671,COMPLETE
23,0.17352180895578878,2026-05-28 17:49:18.956753,2026-05-28 17:49:19.104602,0 days 00:00:00.147849,0.8009236733575649,0.617104625598865,59,0.05173051233712765,3,8.131449231454216,290,0.012372296047176077,7.63469238399511,0.9405224373687476,COMPLETE
24,0.1723995693600719,2026-05-28 17:49:19.104642,2026-05-28 17:49:19.236415,0 days 00:00:00.131773,0.6638425424335401,0.3778665232416123,46,0.03232767293641421,2,9.741091972267288,163,0.002911426936833769,14.538530312948385,0.8033315393181607,COMPLETE
25,0.17348274609454203,2026-05-28 17:49:19.236454,2026-05-28 17:49:19.392755,0 days 00:00:00.156301,0.749717856249186,0.9875502045260869,53,0.07436207998526703,2,6.438898978167418,383,0.0011972015716851627,2.6770623210154825,0.8522943152902032,COMPLETE
26,0.17349951727195465,2026-05-28 17:49:19.392796,2026-05-28 17:49:19.516757,0 days 00:00:00.123961,0.8195678084931235,3.268424260878061,36,0.05366978661138693,3,11.37123508872043,185,0.022272241269438813,1.6371509366759922,0.9046533638954077,COMPLETE
