number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,9.034307283371046,2026-05-28 17:48:51.546160,2026-05-28 17:48:51.805395,0 days 00:00:00.259235,0.6201975341512912,4.330880728874676,29,0.04426505507739147,4,1.1552680028079323,862,0.06677615511747077,5.8692285114717775,0.6202083881990965,COMPLETE
1,9.60077195440468,2026-05-28 17:48:51.805433,2026-05-28 17:48:52.023942,0 days 00:00:00.218509,0.6325320294340453,2.6237821581611893,9,0.01694932417124433,5,2.129769105510178,877,0.010707712109770782,1.0192873377205895,0.6318212352431953,COMPLETE
2,8.755104357806065,2026-05-28 17:48:52.023984,2026-05-28 17:48:52.217520,0 days 00:00:00.193536,0.9033291826268561,2.571172192068058,42,0.02485254280893949,3,1.6424199098700283,228,0.06077686426194467,0.36462174779217404,0.7552314928976662,COMPLETE
3,9.35514774302109,2026-05-28 17:48:52.217558,2026-05-28 17:48:52.368560,0 days 00:00:00.151002,0.9137788066524075,0.48836057003191935,42,0.10568649045073551,2,2.131736233194157,253,0.16413094407760043,1.905106397402321,0.9845344148835518,COMPLETE
4,9.858651535505498,2026-05-28 17:48:52.368596,2026-05-28 17:48:52.507834,0 days 00:00:00.139238,0.8481350279592919,2.600340105889054,14,0.09579029805226609,2,2.1696653211808674,506,0.03706595581487583,0.6520470162863903,0.6664509917200077,COMPLETE
5,9.27558618021205,2026-05-28 17:48:52.507870,2026-05-28 17:48:52.818183,0 days 00:00:00.310313,0.9648434057604026,0.979914312095726,63,0.09240189863957583,5,1.245946655446098,725,0.00016312543168284647,1.1762349745037362,0.8190549904649883,COMPLETE
6,9.113300975911084,2026-05-28 17:48:52.818227,2026-05-28 17:48:53.074715,0 days 00:00:00.256488,0.7942132374212119,4.010984903770199,30,0.024266184742596376,5,1.4193280334856115,331,0.00022403260998810274,18.928359017833206,0.6764205293593214,COMPLETE
7,8.850764362945675,2026-05-28 17:48:53.074765,2026-05-28 17:48:53.235970,0 days 00:00:00.161205,0.8780532256184443,0.3702232586704518,52,0.07586311661632818,2,6.797363478611678,275,0.0048352585996829555,0.48804047955123186,0.8680858047314277,COMPLETE
8,8.92601186504867,2026-05-28 17:48:53.236016,2026-05-28 17:48:53.515427,0 days 00:00:00.279411,0.6963324949120362,3.1877873567760657,57,0.011710919068010249,3,6.1288261826461685,606,1.4756591831687822,2.1797073283273325,0.689942044772048,COMPLETE
9,9.346149613900513,2026-05-28 17:48:53.515467,2026-05-28 17:48:53.716054,0 days 00:00:00.200587,0.7722080183639759,2.137705091792748,14,0.040338507491290705,5,3.6654176448828446,677,0.0001316569270260006,0.471960194555155,0.8969352309795524,COMPLETE
10,9.160588620743145,2026-05-28 17:48:53.716091,2026-05-28 17:48:53.867673,0 days 00:00:00.151582,0.958449157877133,1.626799989856424,44,0.023676362309657823,3,10.85841883793032,124,2.816731511736821,0.31591896979108236,0.7592450782409965,COMPLETE
11,8.934500668502858,2026-05-28 17:48:53.867714,2026-05-28 17:48:54.057659,0 days 00:00:00.189945,0.8667647168914133,0.03926657257777949,51,0.05748092070112391,2,5.790783661342894,393,0.005077185969992698,0.3085844872607354,0.8715240903087359,COMPLETE
12,8.981554749026078,2026-05-28 17:48:54.057699,2026-05-28 17:48:54.213496,0 days 00:00:00.155797,0.9932365836244416,1.3886785756627364,49,0.06592812523173805,3,8.507819455677456,131,0.0015776032557137754,4.944431402788813,0.7909725322667228,COMPLETE
13,8.887535444310833,2026-05-28 17:48:54.213535,2026-05-28 17:48:54.416973,0 days 00:00:00.203438,0.8778614809836929,3.4498839763590965,38,0.02772225408282363,4,3.8056926296084836,264,0.3418686918624544,0.7259811225907045,0.9420159209013825,COMPLETE
14,8.781084133769165,2026-05-28 17:48:54.417013,2026-05-28 17:48:54.576280,0 days 00:00:00.159267,0.7932074093176293,4.8463492602435885,31,0.016647850801559918,2,5.178094890851157,409,0.0024686049508238026,0.48783136018155526,0.7396934278245668,COMPLETE
15,8.845174769086778,2026-05-28 17:48:54.576317,2026-05-28 17:48:54.771573,0 days 00:00:00.195256,0.7621789156845664,4.898232498406144,28,0.015665720923180936,3,3.133780880845067,465,0.0015531525177480785,1.3443188862664808,0.5521330538438903,COMPLETE
16,8.98966431776484,2026-05-28 17:48:54.771610,2026-05-28 17:48:54.960493,0 days 00:00:00.188883,0.5606629351776244,3.4483721260588363,22,0.010610991344307,4,4.444109321467504,407,0.001155075788284907,4.182902683684826,0.7462927769666657,COMPLETE
17,9.264467662787698,2026-05-28 17:48:54.960528,2026-05-28 17:48:55.105914,0 days 00:00:00.145386,0.8092856834405467,4.7773638600490145,35,0.01684638625727806,2,1.6718565307022861,198,0.49202400323309675,9.224398048487696,0.7202162630123761,COMPLETE
18,8.907992792788214,2026-05-28 17:48:55.105951,2026-05-28 17:48:55.295175,0 days 00:00:00.189224,0.7345991901651895,4.061080132164645,21,0.03230174049926075,3,2.9391445478829614,574,0.020241492443172707,0.6775473540896544,0.8157618002672277,COMPLETE
19,8.702170922206562,2026-05-28 17:48:55.295214,2026-05-28 17:48:55.460657,0 days 00:00:00.165443,0.7002601417187544,1.9824935618186974,36,0.019914824290995566,2,4.683013647088363,360,0.11460207721702088,0.40821482716934326,0.5598035399551252,COMPLETE
20,8.89558793297953,2026-05-28 17:48:55.460695,2026-05-28 17:48:55.637618,0 days 00:00:00.176923,0.6931574348092894,1.8397232247150037,43,0.021343038445173556,3,2.581480730283221,337,0.12463309762136626,2.907023163443822,0.5603279012280223,COMPLETE
21,8.824780346338542,2026-05-28 17:48:55.637658,2026-05-28 17:48:55.807774,0 days 00:00:00.170116,0.7291896555857554,2.933749628010072,35,0.014277361887918314,2,4.736981226897977,428,0.022168935242502498,0.45997694811823964,0.6095786344451393,COMPLETE
22,9.054911746332802,2026-05-28 17:48:55.807812,2026-05-28 17:48:55.962204,0 days 00:00:00.154392,0.6595795052205374,2.0699310420135095,24,0.019291404923064914,2,4.787083878992408,319,0.7839976764408817,0.3735151870843955,0.750732131497389,COMPLETE
23,8.913682341417744,2026-05-28 17:48:55.962247,2026-05-28 17:48:56.090354,0 days 00:00:00.128107,0.840696370683626,0.9441379972839925,38,0.02973492838748552,2,8.510736291840198,193,0.07580761891470292,0.8608106486321574,0.8249599668472107,COMPLETE
24,8.862937302233854,2026-05-28 17:48:56.090391,2026-05-28 17:48:56.267510,0 days 00:00:00.177119,0.9205756870243442,2.2926715561943083,33,0.013564434494595254,3,7.834843659423838,372,0.0004609183536347293,0.5070194710747733,0.7123348622883543,COMPLETE
25,8.833022536138097,2026-05-28 17:48:56.267552,2026-05-28 17:48:56.472791,0 days 00:00:00.205239,0.821354292822726,3.640126937833031,46,0.04008386985120784,2,5.466120006947112,522,0.00851875357837546,1.626429721824802,0.5923630966832003,COMPLETE
26,8.714112719756603,2026-05-28 17:48:56.472830,2026-05-28 17:48:56.641842,0 days 00:00:00.169012,0.5719546179458463,1.3235859990233962,39,0.019673775983675593,4,1.7157851930014902,205,0.04867418072120381,0.6014103812138281,0.6547399792896405,COMPLETE
27,8.671090089181613,2026-05-28 17:48:56.641883,2026-05-28 17:48:56.832628,0 days 00:00:00.190745,0.5616620942159836,1.267827765804209,41,0.02044448579304677,4,1.0055452687732243,191,0.21904501079723035,0.8241784439788495,0.6541680755561614,COMPLETE
28,8.916723702313622,2026-05-28 17:48:56.832667,2026-05-28 17:48:57.014388,0 days 00:00:00.181721,0.5547793347086023,1.294361791574184,56,0.019543102448403488,4,1.0213633073695543,168,0.44011758893837377,0.8987125711376296,0.6526325737108636,COMPLETE
29,8.733115233630096,2026-05-28 17:48:57.014431,2026-05-28 17:48:57.223451,0 days 00:00:00.209020,0.6041008910964407,1.0535882098661722,38,0.04818525789677138,4,1.0016630844282328,286,0.20828393089385652,1.3565796563007075,0.5953713461242107,COMPLETE
30,8.97440031810271,2026-05-28 17:48:57.223504,2026-05-28 17:48:57.390399,0 days 00:00:00.166895,0.5925689148322761,1.758331499363437,27,0.012659002089873781,4,1.2520863433508453,209,4.085568060930556,0.6767185024363709,0.6330866022298907,COMPLETE
31,8.692179385661372,2026-05-28 17:48:57.390439,2026-05-28 17:48:57.611948,0 days 00:00:00.221509,0.6013011220586936,0.9629321992403538,39,0.04887837540746255,4,1.083501456257162,290,0.19531573496395338,1.3988441865453738,0.5879361711947643,COMPLETE
32,8.758715288570723,2026-05-28 17:48:57.611985,2026-05-28 17:48:57.838786,0 days 00:00:00.226801,0.6388810067894312,0.7441008024135909,40,0.0365713709694077,4,1.5272860830791921,321,0.06721498930800354,1.0130120473489206,0.5779249438440855,COMPLETE
33,9.061980021632966,2026-05-28 17:48:57.838821,2026-05-28 17:48:58.006663,0 days 00:00:00.167842,0.5878153337201465,1.3940632841934733,48,0.01978125075663987,4,1.8635902675857818,164,0.9893707301235337,2.949881260846244,0.6285011868218612,COMPLETE
34,8.813334341960557,2026-05-28 17:48:58.006703,2026-05-28 17:48:58.217540,0 days 00:00:00.210837,0.6632209184010652,0.642172125113806,34,0.049586795144524076,5,1.1715632601997463,244,0.2279271154410466,1.581914947318789,0.6390595233920194,COMPLETE
35,8.654040891620374,2026-05-28 17:48:58.217579,2026-05-28 17:48:58.410022,0 days 00:00:00.192443,0.6199619928435447,1.5974004805342457,41,0.027320725216720743,4,1.3644403276313315,232,0.041308103964528435,0.8359953085580072,0.5783663328165816,COMPLETE
36,8.800129214240219,2026-05-28 17:48:58.410056,2026-05-28 17:48:58.615536,0 days 00:00:00.205480,0.6267107165844439,1.8871125867310652,45,0.028559819748875465,4,1.347664330127911,288,0.11897341878592892,1.0811515732795216,0.5710764560959672,COMPLETE
37,8.53103558649818,2026-05-28 17:48:58.615576,2026-05-28 17:48:58.969417,0 days 00:00:00.353841,0.6125887104168158,0.2519634755226319,41,0.03417099485077333,5,1.1093436609515404,814,0.03257001442175351,0.835869096319018,0.6031515701807155,COMPLETE
