year,model,target,n,r2,rmse,mae
2017,rf,pH值,202,0.14290576224029272,0.6505268446742432,0.49603947571383944
2017,rf,全碳(g/kg),202,0.17953087441756987,12.603234463350073,8.536146268065075
2017,rf,有机碳(g/kg),202,0.1816763366330959,9.540547406326654,6.792796346506256
2017,rf,容重(g/cm3),202,-0.07724096551816895,0.18032444625304686,0.13989932132405486
2017,rf,N(g/kg),202,0.23783144822591729,0.9064879651425071,0.641567536412805
2017,xgboost,pH值,202,0.1403394217693953,0.6515000314397604,0.5052700109765081
2017,xgboost,全碳(g/kg),202,0.1901552373552402,12.521368102415611,8.782181443318283
2017,xgboost,有机碳(g/kg),202,0.21199182852272191,9.362160873199198,6.777636043624123
2017,xgboost,容重(g/cm3),202,-0.15184670162895753,0.18646422415291639,0.14496277419822992
2017,xgboost,N(g/kg),202,0.2676896957774081,0.8885545653006224,0.6534869370130029
2018,rf,pH值,202,0.15071942528154125,0.6475548054395908,0.4940314363636183
2018,rf,全碳(g/kg),202,0.25995825809629003,11.969582501570585,8.525570742393485
2018,rf,有机碳(g/kg),202,0.25438509737608916,9.106846759886563,6.538063802178051
2018,rf,容重(g/cm3),202,0.05854003683385578,0.16857730432674212,0.13203750486938354
2018,rf,N(g/kg),202,0.3011435339328955,0.8680215831227036,0.6182939500413072
2018,xgboost,pH值,202,0.17790061846952476,0.637108055029489,0.4879236415825268
2018,xgboost,全碳(g/kg),202,0.3078402581064852,11.575881225517863,8.26688679798995
2018,xgboost,有机碳(g/kg),202,0.27524587089133046,8.97854757318377,6.583597500489489
2018,xgboost,容重(g/cm3),202,-0.014392079257428803,0.17498511275087122,0.13673520513632742
2018,xgboost,N(g/kg),202,0.33889894996030545,0.8442488029394398,0.6072560069254129
2019,rf,pH值,202,0.25570160479913695,0.6062119267313284,0.4745436469077741
2019,rf,全碳(g/kg),202,0.28583197457878284,11.758477574319702,8.04380533479164
2019,rf,有机碳(g/kg),202,0.27056285650205647,9.007508404856155,6.3349354710940045
2019,rf,容重(g/cm3),202,0.017242452451431522,0.17223498474215332,0.1354595217439997
2019,rf,N(g/kg),202,0.31006464846986836,0.8624635092718727,0.6026227113207053
2019,xgboost,pH值,202,0.21327154985413976,0.6232515439666069,0.4906584485686651
2019,xgboost,全碳(g/kg),202,0.33821550750732465,11.319029381152125,8.115771320078633
2019,xgboost,有机碳(g/kg),202,0.24141287660294763,9.18572569254378,6.778916949092752
2019,xgboost,容重(g/cm3),202,-0.034413542254223994,0.17670355045851657,0.1405358978718295
2019,xgboost,N(g/kg),202,0.3082259170351761,0.8636120107741687,0.635067814166003
2020,rf,pH值,202,0.15574036748170783,0.6456377976371763,0.49163612418109176
2020,rf,全碳(g/kg),202,0.1868159567479707,12.5471565932462,8.76650689621766
2020,rf,有机碳(g/kg),202,0.182158425630352,9.537736739390128,6.774149990403017
2020,rf,容重(g/cm3),202,0.004710673623158801,0.17332964610662419,0.13589237995531064
2020,rf,N(g/kg),202,0.262758272838414,0.891541336196851,0.631914420800847
2020,xgboost,pH值,202,0.11419323852751018,0.6613333601394714,0.5072773934354876
2020,xgboost,全碳(g/kg),202,0.31719584172019244,11.497382311911958,8.407742675932326
2020,xgboost,有机碳(g/kg),202,0.2614296891800042,9.063723781669497,6.767941050010152
2020,xgboost,容重(g/cm3),202,-0.04667902671486068,0.1777480880451816,0.139164576441
2020,xgboost,N(g/kg),202,0.3081829511996561,0.8636388296709606,0.6452104463931357
2021,rf,pH值,202,0.18716258426036603,0.6335089844130085,0.4898679381594754
2021,rf,全碳(g/kg),202,0.287433305171255,11.745287557471165,8.328033639563051
2021,rf,有机碳(g/kg),202,0.24550339718480285,9.160926174548603,6.663155292410704
2021,rf,容重(g/cm3),202,0.04625861499765127,0.1696732939167378,0.13272324623543724
2021,rf,N(g/kg),202,0.2989799112146587,0.8693642192373752,0.622448360766585
